University,"DBpedia URI",timeshighereducation,topuniversities,shanghairanking,leidenranking,urapcenter,shanghairanking
"Ecole Normale Superieure - Paris",http://dbpedia.org/resource/École_Normale_Supérieure,,,201-300,,475,
" École Polytechnique ",http://dbpedia.org/resource/École_Polytechnique,70,"41 ",201-300,207,372,
"Ecole Polytechnique Fédérale de Lausanne  ",http://dbpedia.org/resource/École_Polytechnique_Fédérale_de_Lausanne,,"19 ",,13,128,93
" Aalborg University ",http://dbpedia.org/resource/Aalborg_University,301-350,"334 ",,,,261
" Aalto University ",http://dbpedia.org/resource/Aalto_University,301-350,"196 ",,297,359,
" Aarhus University ",http://dbpedia.org/resource/Aarhus_University,138,"91 ",81,159,111,
" Aberystwyth University ",http://dbpedia.org/resource/Aberystwyth_University,301-350,"551-600 ",,,,
"Ain Shams University  ",http://dbpedia.org/resource/Ain_Shams_University,,"601-650 ",,,,
"American University in Cairo ",http://dbpedia.org/resource/American_University_in_Cairo,,"348 ",,,,
"American University of Beirut (AUB) ",http://dbpedia.org/resource/American_University_of_Beirut,,"250 ",,,,
"American University of Sharjah (AUS) ",http://dbpedia.org/resource/American_University_of_Sharjah,,"431-440 ",,,,
"Amirkabir University of Technology",http://dbpedia.org/resource/Amirkabir_University_of_Technology,,,,357,,
"Ankara University",http://dbpedia.org/resource/Ankara_University,,,,500,,
"Aristotle University of Thessaloniki",http://dbpedia.org/resource/Aristotle_University_of_Thessaloniki,,"471-480 ",301-400,412,273,235
" Arizona State University ",http://dbpedia.org/resource/Arizona_State_University,146,"293 ",79,106,169,52
"Aston University ",http://dbpedia.org/resource/Aston_University,,"399 ",,,,
"Ateneo de Manila University ",http://dbpedia.org/resource/Ateneo_de_Manila_University,,"501-550 ",,,,
"Auburn University",http://dbpedia.org/resource/Auburn_University,,,401-500,414,,285
"Auckland University of Technology  ",http://dbpedia.org/resource/Auckland_University_of_Technology,,"471-480 ",,,,
" Australian National University ",http://dbpedia.org/resource/Australian_National_University,48,"27 ",66,127,145,101
"Autonomous University of Barcelona",http://dbpedia.org/resource/Autonomous_University_of_Barcelona,226-250,,201-300,333,,154
"Autonomous University of Madrid",http://dbpedia.org/resource/Autonomous_University_of_Madrid,301-350,"195 ",201-300,356,208,383
"Banaras Hindu University",http://dbpedia.org/resource/Banaras_Hindu_University,,,,452,,
" Bangor University ",http://dbpedia.org/resource/Bangor_University,301-350,"471-480 ",,,,
"Bar-Ilan University",http://dbpedia.org/resource/Bar-Ilan_University,,,301-400,373,485,
"Baylor College of Medicine",http://dbpedia.org/resource/Baylor_College_of_Medicine,,,101-150,62,,
"Baylor University",http://dbpedia.org/resource/Baylor_University,,,,,,403
"Beijing Normal University",http://dbpedia.org/resource/Beijing_Normal_University,,"252 ",301-400,372,342,273
"Belarus State University ",http://dbpedia.org/resource/Belarusian_State_University,,"551-600 ",,,,
"Ben-Gurion University of the Negev",http://dbpedia.org/resource/Ben-Gurion_University_of_the_Negev,,"331 ",301-400,456,322,
"Technical University of Berlin",http://dbpedia.org/resource/Berlin_Institute_of_Technology,,"183 ",201-300,266,384,212
"University of Bielefeld",http://dbpedia.org/resource/Bielefeld_University,,"431-440 ",401-500,,,314
" Bilkent University ",http://dbpedia.org/resource/Bilkent_University,226-250,"431-440 ",,,,
" Birkbeck, University of London ","http://dbpedia.org/resource/Birkbeck,_University_of_London",201-225,"374 ",,,,
"Bogazici University ",http://dbpedia.org/resource/Boğaziçi_University,,"461-470 ",,,,
"Bond University ",http://dbpedia.org/resource/Bond_University,,"421-430 ",,,,
" Boston University ",http://dbpedia.org/resource/Boston_University,50,"79 ",75,37,58,83
" Brandeis University ",http://dbpedia.org/resource/Brandeis_University,164,"324 ",201-300,,,
"Brigham Young University",http://dbpedia.org/resource/Brigham_Young_University,,,301-400,,,160
" Brown University ",http://dbpedia.org/resource/Brown_University,52,"47 ",67,74,141,128
" Brunel University London ",http://dbpedia.org/resource/Brunel_University,251-275,"360 ",,,,
"Budapest University of Technology and Economics / Budapesti Műszaki és Gazdaságtudományi Egyetem BME",http://dbpedia.org/resource/Budapest_University_of_Technology_and_Economics,,,,,,418
"Cairo University",http://dbpedia.org/resource/Cairo_University,,"551-600 ",401-500,489,434,358
" California Institute of Technology (Caltech) ",http://dbpedia.org/resource/California_Institute_of_Technology,1,"10 ",6,8,49,32
"Cardiff University",http://dbpedia.org/resource/Cardiff_University,201-225,"136 ",151-200,246,150,394
"Carleton University",http://dbpedia.org/resource/Carleton_University,276-300,"501-550 ",401-500,,,412
" Carnegie Mellon University ",http://dbpedia.org/resource/Carnegie_Mellon_University,24,"57 ",52,21,234,43
" Case Western Reserve University ",http://dbpedia.org/resource/Case_Western_Reserve_University,88,"175 ",99,101,135,301
"Catholic University of Leuven",http://dbpedia.org/resource/Catholic_University_of_Leuven,,,101-150,,87,66
"Universidad Central de Venezuela - UCV ",http://dbpedia.org/resource/Central_University_of_Venezuela,,"551-600 ",,,,
"Chalmers University of Technology",http://dbpedia.org/resource/Chalmers_University_of_Technology,276-300,"202 ",301-400,209,387,291
" Charles Darwin University ",http://dbpedia.org/resource/Charles_Darwin_University,351-400,"471-480 ",,,,
"Charles University in Prague",http://dbpedia.org/resource/Charles_University_in_Prague,351-400,"233 ",201-300,485,151,100
"Chiang Mai University ",http://dbpedia.org/resource/Chiang_Mai_University,,"551-600 ",,,,
"Chiba University ",http://dbpedia.org/resource/Chiba_University,,"441-450 ",,453,386,
" Chinese University of Hong Kong ",http://dbpedia.org/resource/Chinese_University_of_Hong_Kong,109,"39 ",151-200,221,176,183
"Chulalongkorn University ",http://dbpedia.org/resource/Chulalongkorn_University,,"239 ",,430,439,433
"Chung-Ang University  ",http://dbpedia.org/resource/Chung-Ang_University,,"501-550 ",,,,
"City University London ",http://dbpedia.org/resource/City_University_London,,"347 ",,,,
"City University of Hong Kong",http://dbpedia.org/resource/City_University_of_Hong_Kong,201-225,"104 ",301-400,117,285,371
"City University of New York City College",http://dbpedia.org/resource/City_University_of_New_York,,"501-550 ",301-400,,,
" Universit&eacute; Claude Bernard Lyon 1 ",http://dbpedia.org/resource/Claude_Bernard,301-350,,,,,
"Clemson University",http://dbpedia.org/resource/Clemson_University,,,301-400,326,471,265
" Pohang University of Science and Technology (Postech) ",http://dbpedia.org/resource/Cochin_University_of_Science_and_Technology,60,"107 ",301-400,95,294,
" Colorado School of Mines ",http://dbpedia.org/resource/Colorado_School_of_Mines,139,,,,,
"Colorado State University",http://dbpedia.org/resource/Colorado_State_University,276-300,"394 ",151-200,140,253,85
"Complutense University of Madrid",http://dbpedia.org/resource/Complutense_University_of_Madrid,,,201-300,406,192,102
"Concordia University Montréal",http://dbpedia.org/resource/Concordia_University,,,,,,279
" Cornell University ",http://dbpedia.org/resource/Cornell_University,19,"15 ",13,32,21,4
" Creighton University ",http://dbpedia.org/resource/Creighton_University,276-300,,,,,
"Curtin University ",http://dbpedia.org/resource/Curtin_University,,"284 ",,,461,435
"Czech Technical University In Prague ",http://dbpedia.org/resource/Czech_Technical_University_in_Prague,,"451-460 ",,,,
"Dalhousie University",http://dbpedia.org/resource/Dalhousie_University,251-275,"244 ",201-300,303,288,299
" Dartmouth College ",http://dbpedia.org/resource/Dartmouth_College,126,"119 ",151-200,43,333,223
" Deakin University ",http://dbpedia.org/resource/Deakin_University,301-350,"380 ",,,499,204
" Delft University of Technology ",http://dbpedia.org/resource/Delft_University_of_Technology,69,"95 ",201-300,164,207,94
"De La Salle University ",http://dbpedia.org/resource/De_La_Salle_University,,"601-650 ",,,,
"Dongguk University  ",http://dbpedia.org/resource/Dongguk_University,,"601-650 ",,,,
"Dresden University of Technology",http://dbpedia.org/resource/Dresden_University_of_Technology,,"262 ",201-300,236,174,137
"Drexel University",http://dbpedia.org/resource/Drexel_University,301-350,"481-490 ",401-500,241,402,246
"Dublin City University ",http://dbpedia.org/resource/Dublin_City_University,,"349 ",,,,
"Dublin Institute of Technology ",http://dbpedia.org/resource/Dublin_Institute_of_Technology,,"501-550 ",,,,
" Duke University ",http://dbpedia.org/resource/Duke_University,17,"23 ",31,29,20,30
" Durham University ",http://dbpedia.org/resource/Durham_University,80,"90 ",201-300,63,235,270
"Eötvös Loránd University    ",http://dbpedia.org/resource/Eötvös_Loránd_University,,"551-600 ",,,,
" Eindhoven University of Technology ",http://dbpedia.org/resource/Eindhoven_University_of_Technology,106,"157 ",301-400,94,298,162
" Emory University ",http://dbpedia.org/resource/Emory_University,80,"141 ",101-150,46,60,111
" Erasmus University Rotterdam ",http://dbpedia.org/resource/Erasmus_University_Rotterdam,73,"92 ",151-200,96,82,
" ETH Z&uuml;rich – Swiss Federal Institute of Technology Z&uuml;rich ",http://dbpedia.org/resource/ETH_Zurich,14,"12 ",20,26,48,28
"Ewha Womans University ",http://dbpedia.org/resource/Ewha_Womans_University,,"362 ",,321,,
"Federal University of Rio de Janeiro",http://dbpedia.org/resource/Federal_University_of_Rio_de_Janeiro,,"284 ",301-400,478,246,251
"Flinders University",http://dbpedia.org/resource/Flinders_University,,"431-440 ",301-400,410,,
" Florida Institute of Technology ",http://dbpedia.org/resource/Florida_Institute_of_Technology,197,,,,,
"Florida International University",http://dbpedia.org/resource/Florida_International_University,,,,,,275
"Florida State University",http://dbpedia.org/resource/Florida_State_University,,"421-430 ",151-200,154,240,107
"Freie Universität Berlin ",http://dbpedia.org/resource/Free_University_of_Berlin,,"109 ",,167,265,113
"Free University of Brussels VUB",http://dbpedia.org/resource/Free_University_of_Brussels,,,,,377,
"Fudan University ",http://dbpedia.org/resource/Fudan_University,201-225,"88 ",151-200,219,,
"Universitas Gadjah Mada ",http://dbpedia.org/resource/Gadjah_Mada_University,,"501-550 ",,,,414
"Gazi University",http://dbpedia.org/resource/Gazi_University,,,,486,,
" Georgetown University ",http://dbpedia.org/resource/Georgetown_University,160,"189 ",301-400,155,347,194
"George Mason University",http://dbpedia.org/resource/George_Mason_University,351-400,"601-650 ",151-200,272,477,167
" George Washington University ",http://dbpedia.org/resource/George_Washington_University,194,"327 ",201-300,283,338,218
" Georgia Institute of Technology (Georgia Tech) ",http://dbpedia.org/resource/Georgia_Institute_of_Technology,28,"99 ",101-150,34,125,47
"Georgia State University",http://dbpedia.org/resource/Georgia_State_University,,,,,,314
" Ghent University ",http://dbpedia.org/resource/Ghent_University,85,"122 ",85,188,71,
"Goethe University Frankfurt",http://dbpedia.org/resource/Goethe_University_Frankfurt,,,,126,,
"Goldsmiths, University of London ","http://dbpedia.org/resource/Goldsmiths,_University_of_London",,"461-470 ",,,,
"Griffith University",http://dbpedia.org/resource/Griffith_University,,"341 ",301-400,383,,
"Hacettepe University  ",http://dbpedia.org/resource/Hacettepe_University,,"601-650 ",,490,458,
